DLL Page Link,DLL Identifier,Record title,Creator,Source Edition,Source,Publisher,Repository Source,Access Date,rights,DLL Author,DLL Work Reference
https://catalog.digitallatin.org/dll-web-page/WP1951,WP1951,Poesie latine,"Giovanni, da Ravenna, 1343-1408",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000110&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Giovanni, da Ravenna, 1343-1408",Poesie latine
https://catalog.digitallatin.org/dll-web-page/WP1962,WP1962,Pontifex,"Alberti, Leon Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000803&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alberti, Leon Battista, 1404-1472",Pontifex
https://catalog.digitallatin.org/dll-web-page/WP1978,WP1978,Psalmi penitentiales,"Petrarca, Francesco",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001378&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Petrarca, Francesco",Psalmi penitentiales
https://catalog.digitallatin.org/dll-web-page/WP1960,WP1960,Summa terminorum metaphysicorum,"Bruno, Giordano",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000660&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Bruno, Giordano, 1548-1600",Summa terminorum metaphysicorum
https://catalog.digitallatin.org/dll-web-page/WP1968,WP1968,Tertiae convivalis historiae disceptatio,"Bracciolini, Poggio",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001490&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2003,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Bracciolini, Poggio",Tertiae convivalis historiae disceptatio
https://catalog.digitallatin.org/dll-web-page/WP1952,WP1952,Vita S. Potiti,"Alberti, Leon Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000658&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alberti, Leon Battista, 1404-1472",Vita S. Potiti
https://catalog.digitallatin.org/dll-web-page/WP1965,WP1965,Vita Socratis et Senecae,"Manetti, Giannozzo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001382&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Manetti, Giannozzo, 1396-1459",Vita Socratis et Senecae
https://catalog.digitallatin.org/dll-web-page/WP1949,WP1949,Fragmenta Commentarii super Comoediam Dantis Aldigherii,Bartolomeo da Colle,,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000825&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Colle, Bartolomeo da",Fragmenta Commentarii super Comoediam Dantis Aldigherii
https://catalog.digitallatin.org/dll-web-page/WP1963,WP1963,Comentum super poema Comedie Dantis (III red.),"Alighieri, Pietro",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000160&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2006,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alighieri, Pietro, -1364",Comentum super poema Comedie Dantis (III red.)
https://catalog.digitallatin.org/dll-web-page/WP1971,WP1971,Expositio seu comentum super ‘Comedia’ Dantis Allegherii,"Villani, Filippo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001634&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Villani, Filippo, -1405?",Expositio seu comentum super ‘Comedia’ Dantis Allegherii
