DLL Page Link,Authorized Name,Author Name Native Language,Author Name Latin,Author Name English,Other Alternative Name Form(s),Related to other DLL Author(s),BNE Name,BNF Name,DNB Name,ICCU Name,ISNI Name,Perseus Name,Author Name Abbreviations,Author Birth Date,Author Death Date,Floruit/Active,Time Period,VIAF Source,LoC Source,LofC URI,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Wikidata URL,Wikipedia,WorldCat Identity,DLL Identifier,VIAF ID,LoC ID,PHI Number,Stoa Number,CTS URN
https://catalog.digitallatin.org/dll-author/A5271,Council of Constantinople (1st : 381 : Constantinople),,Concilium Constantinopolitanum,First Council of Constantinople,,,Concilio de Constantinopla 1º 381,,,,,,,381 A.D.,,4th Century A.D.,Classical,http://viaf.org/viaf/126126648,http://lccn.loc.gov/n82249995,https://id.loc.gov/authorities/names/n82249995,http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX23575,,,,,,,,A5271,126126648,n82249995,,,
https://catalog.digitallatin.org/dll-author/A5276,Coronatus Notarius,,Coronatus Notarius,Coronatus Notarius,,,,,Coronatus Notarius ca. 8. Jh.,,,,,,,8th Century A.D.,Medieval,http://viaf.org/viaf/7775959,,,,,http://d-nb.info/gnd/10242683X,,,,,,A5276,7775959,,,,
https://catalog.digitallatin.org/dll-author/A5285,"Cosmas, of Prague",,Cosmas Pragensis,Cosmas of Prague,,,,Côme  de Prague 1045?-1125,Cosmas Pragensis 1045-1125,,Kosmas asi 1045-1125,,,1045 A.D.,1125 A.D.,11th Century A.D. - 12th Century A.D.,Medieval,http://viaf.org/viaf/54247588,http://lccn.loc.gov/nr95031511,https://id.loc.gov/authorities/names/nr95031511,,http://catalogue.bnf.fr/ark:/12148/cb124737398,http://d-nb.info/gnd/118522353,,http://isni.org/isni/0000000109025018,https://www.wikidata.org/entity/Q317916#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Cosmas_of_Prague,https://www.worldcat.org/identities/lccn-nr95031511,A5285,54247588,nr95031511,,,
https://catalog.digitallatin.org/dll-author/A5286,Dicuil,Dícuil ,Deicola Hibernicus,Dicuil,,,,,,,,,,,,9th Century A.D.,Medieval,http://viaf.org/viaf/44658177,http://lccn.loc.gov/no2002091116,https://id.loc.gov/authorities/names/no2002091116,,,,,,https://www.wikidata.org/entity/Q905114#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Dicuil,https://www.worldcat.org/identities/lccn-no2002091116,A5286,44658177,no2002091116,,,
https://catalog.digitallatin.org/dll-author/A5278,"Claudius, Bishop of Turin",Claude ,Claudius Taurinensis,Claudius of Turin,,,,,Claudius Taurinensis -827,,"Mamertinus, Claudius 03..-03.",,,,827 A.D.,8th Century A.D. - 9th Century A.D.,Medieval,http://viaf.org/viaf/161573050,http://lccn.loc.gov/n88017734,https://id.loc.gov/authorities/names/n88017734,,,http://d-nb.info/gnd/100939112,,http://isni.org/isni/0000000066310563,https://www.wikidata.org/entity/Q922068#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Claudius_of_Turin,https://www.worldcat.org/identities/lccn-n88017734,A5278,161573050,n88017734,,,
https://catalog.digitallatin.org/dll-author/A5275,"Clotaire I, King of the Franks",,Chlotarius I,Chlothar I,,,,,"Chlotar I. Fränkisches Reich, König 497-561",,"Chlotar 497-561 Fränkisches Reich, König",,,,,6th Century A.D.,Medieval,http://viaf.org/viaf/264790637,http://lccn.loc.gov/n2004025845,https://id.loc.gov/authorities/names/n2004025845,,,http://d-nb.info/gnd/102427216,,http://isni.org/isni/0000000382305547,https://www.wikidata.org/entity/Q28984#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Chlothar_I,https://www.worldcat.org/identities/lccn-n2004025845,A5275,264790637,n2004025845,,,
https://catalog.digitallatin.org/dll-author/A5273,"Columban, Saint",Columbán,Columbanus Luxoviensis et Bobiensis,Saint Columban,,,,Colomban saint 0540?-0615,Columbanus Sanctus 543-615,,Columbano 543-615 Santo,"Columban, Saint, 543-615",,543 A.D.,615 A.D.,6th Century A.D. - 7th Century A.D.,Medieval,http://viaf.org/viaf/61583084,http://lccn.loc.gov/n83800471,https://id.loc.gov/authorities/names/n83800471,,http://catalogue.bnf.fr/ark:/12148/cb12143633s,http://d-nb.info/gnd/118638459,,http://isni.org/isni/0000000079763668,https://www.wikidata.org/entity/Q319653#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Columbanus,https://www.worldcat.org/identities/lccn-n83800471,A5273,61583084,n83800471,,stoa0094a,urn:cts:latinLit:stoa0094a:
https://catalog.digitallatin.org/dll-author/A5281,Council of Chalcedon (451 : Chalcedon),,Concilium Chalcedonense,,,,Concilio de Calcedonia 451,Concile de Chalcédoine 451,Concilium Chalcedonense 451,,Council of Chalcedon,,,451 A.D.,,5th Century A.D.,Classical,http://viaf.org/viaf/153263073,http://lccn.loc.gov/n79100865,https://id.loc.gov/authorities/names/n79100865,http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX10973,http://catalogue.bnf.fr/ark:/12148/cb118691680,http://d-nb.info/gnd/1117255115,,http://isni.org/isni/0000000109455819,https://www.wikidata.org/entity/Q170531#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Council_of_Chalcedon,https://www.worldcat.org/identities/lccn-n79100865,A5281,153263073,n79100865,,,
https://catalog.digitallatin.org/dll-author/A5277,"Council of Seville (619 : Seville, Spain)",,Concilium Hispalense II,Second Council of Seville,,,,,,,,,,619 A.D.,,7th Century A.D.,Medieval,,,,,,,,,,,,A5277,,,,,
https://catalog.digitallatin.org/dll-author/A5279,"Constantius I, Emperor of Rome",Constantius Chlorus,Marcus Flavius Valerius Constantius Herculius Augustus,Constantius I,,,,,,,"Constantius I, Emperor of Rome",,,250 A.D.,306 A.D.,3rd Century A.D. - 4th Century A.D.,Classical,http://viaf.org/viaf/23572704,http://lccn.loc.gov/n85121423,https://id.loc.gov/authorities/names/n85121423,,,,,http://isni.org/isni/0000000078210543,,,https://www.worldcat.org/identities/lccn-n85121423,A5279,23572704,n85121423,,,
https://catalog.digitallatin.org/dll-author/A5268,"Cornelius, Pope",,Cornelius,Pope Cornelius,,,,,Cornelius Papst -253,,Cornelius -253 Papst,"Cornelius, Papst, 253,  (Cornelius, Pope)",,,253 A.D.,3rd Century A.D.,Classical,http://viaf.org/viaf/30335844,http://lccn.loc.gov/no00011241,https://id.loc.gov/authorities/names/no00011241,,,http://d-nb.info/gnd/118924060,,http://isni.org/isni/0000000078598445,https://www.wikidata.org/entity/Q54798#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Pope_Cornelius,https://www.worldcat.org/identities/lccn-no00011241,A5268,30335844,no00011241,,stoa0100a,urn:cts:latinLit:stoa0100a:
https://catalog.digitallatin.org/dll-author/A5316,"Cyril, Saint, Bishop of Jerusalem",,Cyrillus Hierosolymitanus,Saint Cyril of Jerusalem,,,"Cirilo, Santo, Obispo de Jerusalén",Cyrille saint 0315?-0386?,Cyrillus Hierosolymitanus 312-386,Cyrillus : Hierosolymitanus ,Cyrillus santo Hierosolymitanus,,,315 A.D.,386 A.D.,4th Century A.D.,Classical,http://viaf.org/viaf/2437490,http://lccn.loc.gov/n80139106,https://id.loc.gov/authorities/names/n80139106,http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX1724792,http://catalogue.bnf.fr/ark:/12148/cb12101364x,http://d-nb.info/gnd/118677594,http://id.sbn.it/af/IT\ICCU\RAVV\073408,http://isni.org/isni/0000000022197829,https://www.wikidata.org/entity/Q298654#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Cyril_of_Jerusalem,https://www.worldcat.org/identities/lccn-n80139106,A5316,2437490,n80139106,,,
